id,author,title,image_url,small_image_url,price,isbn,isbn13,original_publication_year,original_title,language_code,average_rating
1,Suzanne Collins,"The Hunger Games (The Hunger Games, #1)",https://images.gr-assets.com/books/1447303603m/2767052.jpg,https://images.gr-assets.com/books/1447303603s/2767052.jpg,3583,439023483,9780439023480,2008,The Hunger Games,eng,4.34
2,"J.K. Rowling, Mary GrandPré","Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",https://images.gr-assets.com/books/1474154022m/3.jpg,https://images.gr-assets.com/books/1474154022s/3.jpg,2721,439554934,9780439554930,1997,Harry Potter and the Philosopher's Stone,eng,4.44
3,Stephenie Meyer,"Twilight (Twilight, #1)",https://images.gr-assets.com/books/1361039443m/41865.jpg,https://images.gr-assets.com/books/1361039443s/41865.jpg,1023,316015849,9780316015840,2005,Twilight,en-US,3.57
4,Harper Lee,To Kill a Mockingbird,https://images.gr-assets.com/books/1361975680m/2657.jpg,https://images.gr-assets.com/books/1361975680s/2657.jpg,1071,61120081,9780061120080,1960,To Kill a Mockingbird,eng,4.25
5,F. Scott Fitzgerald,The Great Gatsby,https://images.gr-assets.com/books/1490528560m/4671.jpg,https://images.gr-assets.com/books/1490528560s/4671.jpg,1389,743273567,9780743273560,1925,The Great Gatsby,eng,3.89
6,John Green,The Fault in Our Stars,https://images.gr-assets.com/books/1360206420m/11870085.jpg,https://images.gr-assets.com/books/1360206420s/11870085.jpg,2143,525478817,9780525478810,2012,The Fault in Our Stars,eng,4.26
7,J.R.R. Tolkien,The Hobbit,https://images.gr-assets.com/books/1372847500m/5907.jpg,https://images.gr-assets.com/books/1372847500s/5907.jpg,1862,618260307,9780618260300,1937,The Hobbit or There and Back Again,en-US,4.25
8,J.D. Salinger,The Catcher in the Rye,https://images.gr-assets.com/books/1398034300m/5107.jpg,https://images.gr-assets.com/books/1398034300s/5107.jpg,3813,316769177,9780316769170,1951,The Catcher in the Rye,eng,3.79
9,Dan Brown,"Angels & Demons  (Robert Langdon, #1)",https://images.gr-assets.com/books/1303390735m/960.jpg,https://images.gr-assets.com/books/1303390735s/960.jpg,1972,1416524797,9781416524790,2000,Angels & Demons,en-CA,3.85
10,Jane Austen,Pride and Prejudice,https://images.gr-assets.com/books/1320399351m/1885.jpg,https://images.gr-assets.com/books/1320399351s/1885.jpg,3332,679783261,9780679783270,1813,Pride and Prejudice,eng,4.24
11,Khaled Hosseini,The Kite Runner,https://images.gr-assets.com/books/1484565687m/77203.jpg,https://images.gr-assets.com/books/1484565687s/77203.jpg,3558,1594480001,9781594480000,2003,The Kite Runner,eng,4.26
12,Veronica Roth,"Divergent (Divergent, #1)",https://images.gr-assets.com/books/1328559506m/13335037.jpg,https://images.gr-assets.com/books/1328559506s/13335037.jpg,3475,62024035,9780062024040,2011,Divergent,eng,4.24
13,"George Orwell, Erich Fromm, Celâl Üster",1984,https://images.gr-assets.com/books/1348990566m/5470.jpg,https://images.gr-assets.com/books/1348990566s/5470.jpg,2132,451524934,9780451524940,1949,Nineteen Eighty-Four,eng,4.14
14,George Orwell,Animal Farm,https://images.gr-assets.com/books/1424037542m/7613.jpg,https://images.gr-assets.com/books/1424037542s/7613.jpg,1243,452284244,9780452284240,1945,Animal Farm: A Fairy Story,eng,3.87
15,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",The Diary of a Young Girl,https://images.gr-assets.com/books/1358276407m/48855.jpg,https://images.gr-assets.com/books/1358276407s/48855.jpg,412,553296981,9780553296980,1947,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,eng,4.1
16,"Stieg Larsson, Reg Keeland","The Girl with the Dragon Tattoo (Millennium, #1)",https://images.gr-assets.com/books/1327868566m/2429135.jpg,https://images.gr-assets.com/books/1327868566s/2429135.jpg,1868,307269752,9780307269750,2005,Män som hatar kvinnor,eng,4.11
17,Suzanne Collins,"Catching Fire (The Hunger Games, #2)",https://images.gr-assets.com/books/1358273780m/6148028.jpg,https://images.gr-assets.com/books/1358273780s/6148028.jpg,1388,439023491,9780439023500,2009,Catching Fire,eng,4.3
18,"J.K. Rowling, Mary GrandPré, Rufus Beck","Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",https://images.gr-assets.com/books/1499277281m/5.jpg,https://images.gr-assets.com/books/1499277281s/5.jpg,3039,043965548X,9780439655480,1999,Harry Potter and the Prisoner of Azkaban,eng,4.53
19,J.R.R. Tolkien,"The Fellowship of the Ring (The Lord of the Rings, #1)",https://images.gr-assets.com/books/1298411339m/34.jpg,https://images.gr-assets.com/books/1298411339s/34.jpg,1321,618346252,9780618346260,1954,The Fellowship of the Ring,eng,4.34
20,Suzanne Collins,"Mockingjay (The Hunger Games, #3)",https://images.gr-assets.com/books/1358275419m/7260188.jpg,https://images.gr-assets.com/books/1358275419s/7260188.jpg,105,439023513,9780439023510,2010,Mockingjay,eng,4.03
21,"J.K. Rowling, Mary GrandPré","Harry Potter and the Order of the Phoenix (Harry Potter, #5)",https://images.gr-assets.com/books/1387141547m/2.jpg,https://images.gr-assets.com/books/1387141547s/2.jpg,1954,439358078,9780439358070,2003,Harry Potter and the Order of the Phoenix,eng,4.46
22,Alice Sebold,The Lovely Bones,https://images.gr-assets.com/books/1457810586m/12232938.jpg,https://images.gr-assets.com/books/1457810586s/12232938.jpg,3557,316166685,9780316166680,2002,The Lovely Bones,eng,3.77
23,"J.K. Rowling, Mary GrandPré","Harry Potter and the Chamber of Secrets (Harry Potter, #2)",https://images.gr-assets.com/books/1474169725m/15881.jpg,https://images.gr-assets.com/books/1474169725s/15881.jpg,3908,439064864,9780439064870,1998,Harry Potter and the Chamber of Secrets,eng,4.37
24,"J.K. Rowling, Mary GrandPré","Harry Potter and the Goblet of Fire (Harry Potter, #4)",https://images.gr-assets.com/books/1361482611m/6.jpg,https://images.gr-assets.com/books/1361482611s/6.jpg,596,439139600,9780439139600,2000,Harry Potter and the Goblet of Fire,eng,4.53
25,"J.K. Rowling, Mary GrandPré","Harry Potter and the Deathly Hallows (Harry Potter, #7)",https://images.gr-assets.com/books/1474171184m/136251.jpg,https://images.gr-assets.com/books/1474171184s/136251.jpg,2772,545010225,9780545010220,2007,Harry Potter and the Deathly Hallows,eng,4.61
26,Dan Brown,"The Da Vinci Code (Robert Langdon, #2)",https://images.gr-assets.com/books/1303252999m/968.jpg,https://images.gr-assets.com/books/1303252999s/968.jpg,3346,307277674,9780307277670,2003,The Da Vinci Code,eng,3.79
27,"J.K. Rowling, Mary GrandPré","Harry Potter and the Half-Blood Prince (Harry Potter, #6)",https://images.gr-assets.com/books/1361039191m/1.jpg,https://images.gr-assets.com/books/1361039191s/1.jpg,3976,439785960,9780439785970,2005,Harry Potter and the Half-Blood Prince,eng,4.54
28,William Golding,Lord of the Flies,https://images.gr-assets.com/books/1327869409m/7624.jpg,https://images.gr-assets.com/books/1327869409s/7624.jpg,1737,140283331,9780140283330,1954,Lord of the Flies,eng,3.64
29,"William Shakespeare, Robert           Jackson",Romeo and Juliet,https://images.gr-assets.com/books/1327872146m/18135.jpg,https://images.gr-assets.com/books/1327872146s/18135.jpg,3663,743477111,9780743477120,1595,An Excellent conceited Tragedie of Romeo and Juliet,eng,3.73
30,Gillian Flynn,Gone Girl,https://images.gr-assets.com/books/1339602131m/8442457.jpg,https://images.gr-assets.com/books/1339602131s/8442457.jpg,771,297859382,9780297859380,2012,Gone Girl,eng,4.03
31,Kathryn Stockett,The Help,https://images.gr-assets.com/books/1346100365m/4667024.jpg,https://images.gr-assets.com/books/1346100365s/4667024.jpg,3304,399155341,9780399155340,2009,The Help,eng,4.45
32,John Steinbeck,Of Mice and Men,https://images.gr-assets.com/books/1437235233m/890.jpg,https://images.gr-assets.com/books/1437235233s/890.jpg,497,142000671,9780142000670,1937,Of Mice and Men,eng,3.84
33,Arthur Golden,Memoirs of a Geisha,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,701,739326228,9780739326220,1997,Memoirs of a Geisha,eng,4.08
34,E.L. James,"Fifty Shades of Grey (Fifty Shades, #1)",https://images.gr-assets.com/books/1385207843m/10818853.jpg,https://images.gr-assets.com/books/1385207843s/10818853.jpg,1022,1612130291,9781612130290,2011,Fifty Shades of Grey,eng,3.67
35,"Paulo Coelho, Alan R. Clarke",The Alchemist,https://images.gr-assets.com/books/1483412266m/865.jpg,https://images.gr-assets.com/books/1483412266s/865.jpg,3650,61122416,9780061122420,1988,O Alquimista,eng,3.82
36,Lois Lowry,"The Giver (The Giver, #1)",https://images.gr-assets.com/books/1342493368m/3636.jpg,https://images.gr-assets.com/books/1342493368s/3636.jpg,2067,385732554,9780385732550,1993,The Giver,eng,4.12
37,C.S. Lewis,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",https://images.gr-assets.com/books/1353029077m/100915.jpg,https://images.gr-assets.com/books/1353029077s/100915.jpg,71,60764899,9780060764890,1950,"The Lion, the Witch and the Wardrobe",eng,4.19
38,Audrey Niffenegger,The Time Traveler's Wife,https://images.gr-assets.com/books/1437728815m/14050.jpg,https://images.gr-assets.com/books/1437728815s/14050.jpg,1800,965818675,9780965818670,2003,The Time Traveler's Wife,eng,3.95
39,George R.R. Martin,"A Game of Thrones (A Song of Ice and Fire, #1)",https://images.gr-assets.com/books/1436732693m/13496.jpg,https://images.gr-assets.com/books/1436732693s/13496.jpg,3737,553588486,9780553588480,1996,A Game of Thrones,eng,4.45
40,Elizabeth Gilbert,"Eat, Pray, Love",https://images.gr-assets.com/books/1503066414m/19501.jpg,https://images.gr-assets.com/books/1503066414s/19501.jpg,1157,143038419,9780143038410,2006,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",eng,3.51
41,Rick Riordan,"The Lightning Thief (Percy Jackson and the Olympians, #1)",https://images.gr-assets.com/books/1400602609m/28187.jpg,https://images.gr-assets.com/books/1400602609s/28187.jpg,3421,786838655,9780786838650,2005,The Lightning Thief,eng,4.23
42,Louisa May Alcott,"Little Women (Little Women, #1)",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1353,451529308,9780451529300,1868,Little Women,en-US,4.04
43,"Charlotte Brontë, Michael Mason",Jane Eyre,https://images.gr-assets.com/books/1327867269m/10210.jpg,https://images.gr-assets.com/books/1327867269s/10210.jpg,1621,142437204,9780142437210,1847,Jane Eyre,eng,4.1
44,Nicholas Sparks,"The Notebook (The Notebook, #1)",https://images.gr-assets.com/books/1385738917m/15931.jpg,https://images.gr-assets.com/books/1385738917s/15931.jpg,289,553816713,9780553816720,1996,The Notebook,eng,4.06
45,Yann Martel,Life of Pi,https://images.gr-assets.com/books/1320562005m/4214.jpg,https://images.gr-assets.com/books/1320562005s/4214.jpg,3639,770430074,9780770430080,2001,Life of Pi,,3.88
46,Sara Gruen,Water for Elephants,https://images.gr-assets.com/books/1494428973m/43641.jpg,https://images.gr-assets.com/books/1494428973s/43641.jpg,1616,1565125606,9781565125600,2006,Water for Elephants,eng,4.07
47,Markus Zusak,The Book Thief,https://images.gr-assets.com/books/1390053681m/19063.jpg,https://images.gr-assets.com/books/1390053681s/19063.jpg,2371,375831002,9780375831000,2005,The Book Thief,eng,4.36
48,Ray Bradbury,Fahrenheit 451,https://images.gr-assets.com/books/1351643740m/4381.jpg,https://images.gr-assets.com/books/1351643740s/4381.jpg,3256,307347974,9780307347980,1953,Fahrenheit 451,spa,3.97
49,Stephenie Meyer,"New Moon (Twilight, #2)",https://images.gr-assets.com/books/1361039440m/49041.jpg,https://images.gr-assets.com/books/1361039440s/49041.jpg,3409,316160199,9780316160190,2006,"New Moon (Twilight, #2)",eng,3.52
50,Shel Silverstein,Where the Sidewalk Ends,https://images.gr-assets.com/books/1168052448m/30119.jpg,https://images.gr-assets.com/books/1168052448s/30119.jpg,161,60513039,9780060513030,1974,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,eng,4.29